epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4753,0.7196,1.60443,1.13932,0.88566,0.8125,0.90246,0.74583,0.61248,0.88864,1.05668,0.000369284,0.000369284,0.000369284
2,84.9518,0.69906,0.76059,1.10139,0.9632,0.88028,0.9477,0.79925,0.57561,0.51525,1.03475,0.000724973,0.000724973,0.000724973
3,123.707,0.69305,0.62707,1.09506,0.94794,0.915,0.95188,0.82756,0.53269,0.48852,0.98479,0.001066,0.001066,0.001066
4,162.581,0.68059,0.58296,1.08623,0.91312,0.85147,0.92392,0.78719,0.58632,0.55347,1.03678,0.00104501,0.00104501,0.00104501
5,201.76,0.64511,0.5235,1.07005,0.9731,0.92895,0.96674,0.87326,0.44191,0.35043,0.92877,0.00102301,0.00102301,0.00102301
6,241.688,0.61033,0.48661,1.05283,0.96424,0.91039,0.95679,0.85809,0.45968,0.39856,0.93152,0.00100101,0.00100101,0.00100101
7,280.274,0.5921,0.46043,1.04354,0.97412,0.93597,0.9716,0.8979,0.40076,0.30678,0.89554,0.000979013,0.000979013,0.000979013
8,318.639,0.57284,0.4417,1.03602,0.97988,0.93972,0.97191,0.91092,0.37326,0.29344,0.88289,0.000957015,0.000957015,0.000957015
9,356.858,0.56279,0.4302,1.02827,0.97325,0.94645,0.97538,0.90793,0.37585,0.28371,0.88444,0.000935018,0.000935018,0.000935018
10,396.052,0.54985,0.41272,1.0245,0.97619,0.94108,0.97803,0.91689,0.35818,0.2743,0.879,0.00091302,0.00091302,0.00091302
11,435.88,0.53501,0.40545,1.01435,0.98227,0.94277,0.97796,0.91805,0.35919,0.26377,0.87185,0.000891022,0.000891022,0.000891022
12,473.53,0.52528,0.39442,1.01211,0.98152,0.93824,0.97827,0.92383,0.34943,0.26273,0.86442,0.000869024,0.000869024,0.000869024
13,511.269,0.51814,0.38702,1.00804,0.97418,0.95221,0.97776,0.92711,0.3287,0.2509,0.85432,0.000847026,0.000847026,0.000847026
14,548.802,0.50378,0.37824,0.99853,0.98342,0.94415,0.97731,0.93147,0.31765,0.2371,0.84753,0.000825029,0.000825029,0.000825029
