epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7127,0.65598,1.78676,1.09971,0.96378,0.91643,0.96063,0.84417,0.48605,0.64815,0.9387,0.00332752,0.00332752,0.00332752
2,134.399,0.62131,0.82303,1.03845,0.97004,0.93589,0.96238,0.87164,0.43369,0.44274,0.90478,0.00659491,0.00659491,0.00659491
3,197.26,0.68401,0.68732,1.06133,0.70435,0.62842,0.66017,0.48966,0.92648,1.62998,1.33469,0.0097963,0.0097963,0.0097963
4,260.821,0.72489,0.63474,1.08123,0.81799,0.78564,0.8817,0.75466,0.5895,0.7898,1.01398,0.009703,0.009703,0.009703
5,322.452,0.67109,0.55033,1.05411,0.95753,0.90335,0.95224,0.83966,0.53879,0.48068,0.99096,0.009604,0.009604,0.009604
6,385.702,0.62913,0.50108,1.03297,0.96971,0.93342,0.96638,0.87201,0.46482,0.36914,0.93139,0.009505,0.009505,0.009505
7,448.711,0.59755,0.46772,1.02004,0.97587,0.94146,0.96896,0.89593,0.4098,0.3224,0.89037,0.009406,0.009406,0.009406
8,509.658,0.57956,0.44844,1.0138,0.98573,0.94094,0.97127,0.89866,0.40006,0.30549,0.8825,0.009307,0.009307,0.009307
9,571.767,0.55515,0.42475,1.00057,0.9823,0.95466,0.97203,0.91557,0.36298,0.275,0.86028,0.009208,0.009208,0.009208
10,634.167,0.5419,0.41118,0.99447,0.98166,0.94274,0.97163,0.91226,0.3703,0.27329,0.86661,0.009109,0.009109,0.009109
11,696.03,0.53365,0.40247,0.99358,0.98925,0.94736,0.97478,0.92456,0.33837,0.2558,0.84854,0.00901,0.00901,0.00901
12,759.422,0.5271,0.39912,0.98955,0.9846,0.95304,0.97447,0.92494,0.34042,0.25016,0.8484,0.008911,0.008911,0.008911
13,821.327,0.51536,0.3862,0.98483,0.9881,0.95034,0.97595,0.93295,0.32286,0.24721,0.84065,0.008812,0.008812,0.008812
14,882.201,0.49875,0.37476,0.9784,0.98715,0.95706,0.97827,0.93761,0.3019,0.22965,0.83132,0.008713,0.008713,0.008713
15,945.047,0.4961,0.36725,0.97566,0.99158,0.9519,0.97445,0.93626,0.30295,0.22752,0.83266,0.008614,0.008614,0.008614
16,1006.77,0.49062,0.36725,0.97423,0.99055,0.9555,0.97831,0.93894,0.29254,0.22045,0.82673,0.008515,0.008515,0.008515
17,1067.75,0.48328,0.35591,0.96839,0.99231,0.95293,0.97731,0.94281,0.28719,0.21468,0.82617,0.008416,0.008416,0.008416
18,1131.54,0.47678,0.35815,0.96805,0.99008,0.95494,0.97763,0.94246,0.28711,0.21532,0.82345,0.008317,0.008317,0.008317
19,1193.13,0.47328,0.35215,0.96592,0.98177,0.96262,0.9778,0.94529,0.27343,0.20828,0.81982,0.008218,0.008218,0.008218
20,1254.23,0.46898,0.3502,0.96711,0.99196,0.95621,0.97865,0.9461,0.26914,0.20356,0.81594,0.008119,0.008119,0.008119
21,1318.07,0.45759,0.33955,0.95781,0.98793,0.9572,0.97814,0.95026,0.2614,0.20041,0.81241,0.00802,0.00802,0.00802
22,1379.47,0.45796,0.33902,0.96055,0.98567,0.96165,0.97773,0.94965,0.25573,0.1959,0.81167,0.007921,0.007921,0.007921
23,1440.66,0.45108,0.33421,0.95828,0.98227,0.96483,0.97912,0.95223,0.25395,0.19182,0.81068,0.007822,0.007822,0.007822
24,1503.78,0.44126,0.32961,0.95234,0.98697,0.96286,0.9787,0.95176,0.24873,0.18979,0.80854,0.007723,0.007723,0.007723
25,1565.05,0.44301,0.32944,0.95365,0.98262,0.9625,0.97828,0.95213,0.24343,0.18693,0.80547,0.007624,0.007624,0.007624
26,1626.36,0.43943,0.32377,0.95077,0.99047,0.95477,0.9792,0.95398,0.23912,0.1849,0.80261,0.007525,0.007525,0.007525
27,1688.81,0.4388,0.3229,0.95101,0.98505,0.96469,0.98039,0.9546,0.23922,0.1814,0.80334,0.007426,0.007426,0.007426
28,1750.14,0.4358,0.32258,0.95136,0.98355,0.96456,0.98116,0.95557,0.23536,0.18051,0.80215,0.007327,0.007327,0.007327
29,1811.28,0.43067,0.31822,0.95006,0.99074,0.95733,0.98042,0.95733,0.22993,0.17795,0.80021,0.007228,0.007228,0.007228
30,1874.14,0.42945,0.31789,0.94974,0.98849,0.96291,0.98101,0.95746,0.2317,0.17635,0.80041,0.007129,0.007129,0.007129
31,1935.51,0.4258,0.31346,0.94674,0.99315,0.95417,0.98033,0.95635,0.22614,0.17433,0.79776,0.00703,0.00703,0.00703
32,1998.27,0.42053,0.31231,0.94467,0.98488,0.96649,0.98059,0.95807,0.224,0.1721,0.79699,0.006931,0.006931,0.006931
33,2060.88,0.42042,0.31134,0.94371,0.98778,0.96606,0.9815,0.95937,0.22309,0.17073,0.79622,0.006832,0.006832,0.006832
34,2122.08,0.41767,0.30965,0.94423,0.98803,0.96399,0.9814,0.95873,0.22102,0.16921,0.79439,0.006733,0.006733,0.006733
35,2184.34,0.41315,0.30607,0.94243,0.98395,0.96626,0.98163,0.96031,0.21824,0.16465,0.79466,0.006634,0.006634,0.006634
