epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.152,0.60718,1.73719,1.06378,0.9614,0.93042,0.9632,0.87296,0.42548,0.63703,0.8931,0.00332752,0.00332752,0.00332752
2,132.237,0.60064,0.80183,1.02565,0.98434,0.93389,0.9659,0.88621,0.39838,0.39723,0.88553,0.00659491,0.00659491,0.00659491
3,193.84,0.66136,0.6673,1.05006,0.92481,0.86443,0.91837,0.77896,0.61137,0.59633,1.03988,0.0097963,0.0097963,0.0097963
4,254.165,0.69114,0.60382,1.06542,0.96867,0.93078,0.95883,0.86567,0.45515,0.37511,0.91663,0.009703,0.009703,0.009703
5,316.819,0.63354,0.51466,1.03882,0.96755,0.91737,0.95628,0.87116,0.4453,0.39035,0.91642,0.009604,0.009604,0.009604
6,378.695,0.59369,0.46314,1.01846,0.9768,0.9424,0.97073,0.89944,0.39576,0.29981,0.88443,0.009505,0.009505,0.009505
7,439.668,0.56303,0.43552,1.00666,0.98435,0.94376,0.97149,0.91185,0.36236,0.27775,0.86868,0.009406,0.009406,0.009406
8,501.967,0.54706,0.41754,1.00085,0.98718,0.9452,0.97101,0.91716,0.34141,0.26465,0.85861,0.009307,0.009307,0.009307
9,563.717,0.52118,0.39619,0.98734,0.98323,0.95674,0.97286,0.92358,0.32742,0.24707,0.84682,0.009208,0.009208,0.009208
10,624.096,0.50806,0.38409,0.98106,0.98652,0.95444,0.97398,0.93225,0.31349,0.22807,0.83625,0.009109,0.009109,0.009109
11,686.755,0.49803,0.37309,0.97957,0.98607,0.95441,0.97496,0.93418,0.29475,0.22046,0.83093,0.00901,0.00901,0.00901
12,748.555,0.48898,0.36852,0.97486,0.98583,0.95807,0.9756,0.93617,0.29541,0.2151,0.83277,0.008911,0.008911,0.008911
13,809.261,0.48435,0.35901,0.97258,0.99491,0.94992,0.97753,0.94372,0.27382,0.20266,0.82139,0.008812,0.008812,0.008812
14,872.026,0.46831,0.34683,0.96699,0.99322,0.95102,0.97806,0.94399,0.26794,0.2032,0.82062,0.008713,0.008713,0.008713
15,933.239,0.46361,0.34172,0.96391,0.99121,0.95399,0.97621,0.94511,0.26307,0.19916,0.81904,0.008614,0.008614,0.008614
16,993.622,0.45759,0.33751,0.9605,0.99139,0.95298,0.9762,0.94611,0.25767,0.19067,0.81375,0.008515,0.008515,0.008515
17,1056.5,0.44913,0.32832,0.9552,0.99005,0.9539,0.97928,0.95065,0.24851,0.1878,0.80957,0.008416,0.008416,0.008416
18,1117.76,0.44421,0.32895,0.95561,0.98691,0.96294,0.97916,0.95142,0.24364,0.18114,0.81021,0.008317,0.008317,0.008317
19,1178.38,0.44205,0.32403,0.9545,0.98936,0.95699,0.97951,0.95429,0.24117,0.18081,0.8068,0.008218,0.008218,0.008218
20,1240.73,0.43691,0.32015,0.95449,0.98423,0.96538,0.98066,0.95555,0.23316,0.17236,0.80387,0.008119,0.008119,0.008119
21,1301.59,0.42725,0.31132,0.94622,0.98754,0.96326,0.97971,0.95346,0.23316,0.17164,0.80536,0.00802,0.00802,0.00802
